# From roughly 16:30 26 Jan 2014 to 08:30 27 Jan 2014
# Sensor 1 is onboard-temperature
# Sensor 2 is external thermistor temperature in water
# Sensor 3 is garbage
# 
# time         sensor    value
675            2         294.8860
675            4         1.0760
681            1         17.4720
681            3         304.4390
681            2         294.8910
687            1         17.3480
687            3         304.4210
687            2         294.8890
693            1         17.4190
693            3         304.4560
693            2         294.8890
699            1         17.1700
699            3         304.4670
699            2         294.8830
699            4         0.9620
705            1         17.2050
705            3         304.4560
705            2         294.8810
711            1         16.9560
711            3         304.4340
711            2         294.8770
717            1         17.0450
717            3         304.4660
717            2         294.8780
723            1         17.2590
723            3         304.4590
723            2         294.8700
723            4         1.2720
729            1         16.8320
729            3         304.4230
729            2         294.8640
735            1         17.6860
735            3         304.4440
735            2         294.8580
741            1         17.1700
741            3         304.4360
741            2         294.8530
747            1         17.3480
747            3         304.4430
747            2         294.8580
747            4         1.1510
753            1         16.5830
753            3         304.4500
753            2         294.8240
759            1         17.1700
759            3         304.4500
759            2         294.7490
765            1         16.7430
765            3         304.4580
765            2         294.6680
771            1         16.8670
771            3         304.4520
771            2         294.6020
771            4         1.5030
777            1         16.6540
777            3         304.4680
777            2         294.5170
783            1         17.2940
783            3         304.4640
783            2         294.4670
789            1         16.9210
789            3         304.4550
789            2         294.4110
795            1         17.0450
795            3         304.4740
795            2         294.3600
795            4         0.9140
801            1         16.5830
801            3         304.4740
801            2         294.3080
807            1         16.5830
807            3         304.4780
807            2         294.2630
813            1         16.5830
813            3         304.4600
813            2         294.2190
819            1         16.7430
819            3         304.4570
819            2         294.1780
819            4         1.2220
825            1         16.8320
825            3         304.4660
825            2         294.1080
831            1         16.8320
831            3         304.4720
831            2         294.0720
837            1         16.7070
837            3         304.4760
837            2         294.0210
843            1         16.9560
843            3         304.4760
843            2         293.9590
849            1         16.7430
849            3         304.4660
849            2         293.9200
855            1         16.8320
855            3         304.4590
855            2         293.8540
861            1         16.4940
861            3         304.4660
861            2         293.7920
861            4         2.9550
867            1         16.4580
867            3         304.4580
867            2         293.7340
873            1         16.4580
873            3         304.4610
873            2         293.6770
879            1         16.3160
879            3         304.4360
879            2         293.6130
885            1         16.4050
885            3         304.4470
885            2         293.5670
891            1         16.3690
891            3         304.4430
891            2         293.5230
897            1         16.8320
897            3         304.4370
897            2         293.4850
903            1         16.2450
903            3         304.4440
903            2         293.3920
909            1         16.7430
909            3         304.4450
909            2         293.3890
915            1         16.4050
915            3         304.4430
915            2         293.3250
921            1         16.1560
921            3         304.4370
921            2         293.2840
927            1         15.9420
927            3         304.4330
927            2         293.2400
933            1         15.9070
933            3         304.4410
933            2         293.2000
939            1         16.0310
939            3         304.4450
939            2         293.1150
945            1         16.1020
945            3         304.4230
945            2         293.0350
951            1         16.8670
951            3         304.4200
951            2         292.9690
957            1         16.1560
957            3         304.4290
957            2         292.8740
963            1         15.9070
963            3         304.4370
963            2         292.7870
969            1         16.2450
969            3         304.4100
969            2         292.7070
975            1         15.5510
975            3         304.4240
975            2         292.6100
981            1         16.0670
981            3         304.4260
981            2         292.5110
987            1         15.9070
987            3         304.4100
987            2         292.4030
993            1         15.7290
993            3         304.4240
993            2         292.3070
999            1         15.7290
999            3         304.4210
999            2         292.2010
1005           1         15.6930
1005           3         304.4180
1005           2         292.0910
1011           1         15.7640
1011           3         304.4130
1011           2         291.9820
1017           1         15.6400
1017           3         304.3890
1017           2         291.8610
1023           1         15.4790
1023           3         304.4150
1023           2         291.7460
1029           1         15.0520
1029           3         304.3930
1029           2         291.6310
1035           1         15.6930
1035           3         304.3960
1035           2         291.5090
1041           1         15.4260
1041           3         304.3840
1041           2         291.3920
1047           1         15.6400
1047           3         304.3730
1047           2         291.2690
1053           1         15.5510
1053           3         304.3860
1053           2         291.1570
1059           1         15.3020
1059           3         304.3870
1059           2         291.0490
1065           1         15.8530
1065           3         304.3700
1065           2         290.9420
1071           1         15.1770
1071           3         304.3780
1071           2         290.8580
1077           1         14.9630
1077           3         304.3750
1077           2         290.7680
1077           4         5.6850
1083           1         15.3020
1083           3         304.3770
1083           2         290.6800
1089           1         15.0520
1089           3         304.3620
1089           2         290.5780
1095           1         14.9630
1095           3         304.3570
1095           2         290.4850
1101           1         14.9280
1101           3         304.3730
1101           2         290.3730
1107           1         14.7850
1107           3         304.3540
1107           2         290.2630
1107           4         1.8220
1113           1         15.2130
1113           3         304.3450
1113           2         290.1740
1119           1         14.7850
1119           3         304.3490
1119           2         290.0780
1125           1         13.9850
1125           3         304.3390
1125           2         289.9750
1131           1         14.2870
1131           3         304.3310
1131           2         289.8790
1131           4         1.5000
1137           1         14.5360
1137           3         304.3320
1137           2         289.7940
1143           1         14.5360
1143           3         304.3170
1143           2         289.7090
1149           1         14.2870
1149           3         304.3230
1149           2         289.6160
1149           4         0.7900
1155           1         14.4120
1155           3         304.3200
1155           2         289.5490
1161           1         14.2340
1161           3         304.3090
1161           2         289.4670
1167           1         13.7710
1167           3         304.3070
1167           2         289.3830
1167           4         0.4160
1173           1         14.0380
1173           3         304.3030
1173           2         289.3100
1179           1         14.2340
1179           3         304.3160
1179           2         289.2240
1185           1         14.2340
1185           3         304.3080
1185           2         289.1610
1185           4         0.9470
1191           1         13.6820
1191           3         304.2920
1191           2         289.0820
1197           1         13.1840
1197           3         304.2970
1197           2         288.9820
1203           1         12.9700
1203           3         304.2920
1203           2         288.8450
1203           4         0.9560
1209           1         13.3440
1209           3         304.2960
1209           2         288.7790
1215           1         12.7210
1215           3         304.2960
1215           2         288.7260
1221           1         13.3080
1221           3         304.2940
1221           2         288.6650
1221           4         0.3620
1227           1         13.1840
1227           3         304.2790
1227           2         288.6030
1233           1         12.7210
1233           3         304.2860
1233           2         288.5480
1239           1         12.8460
1239           3         304.2810
1239           2         288.4910
1239           4         2.0880
1245           1         12.6680
1245           3         304.2630
1245           2         288.4120
1251           1         12.7570
1251           3         304.2730
1251           2         288.3450
1257           1         12.6680
1257           3         304.2570
1257           2         288.2680
1257           4         1.4830
1263           1         12.7920
1263           3         304.2610
1263           2         288.1990
1269           1         12.4190
1269           3         304.2550
1269           2         288.1200
1275           1         12.3300
1275           3         304.2590
1275           2         288.0350
1275           4         1.1510
1281           1         12.3300
1281           3         304.2580
1281           2         287.9660
1287           1         12.0270
1287           3         304.2410
1287           2         287.8840
1293           1         11.8670
1293           3         304.2370
1293           2         287.7990
1293           4         0.3730
1299           1         11.7430
1299           3         304.2410
1299           2         287.7290
1305           1         12.3650
1305           3         304.2530
1305           2         287.6570
1305           4         0.5190
1311           1         11.7430
1311           3         304.2360
1311           2         287.5890
1317           1         11.5290
1317           3         304.2240
1317           2         287.5190
1317           4         0.9590
1323           1         11.2620
1323           3         304.2260
1323           2         287.4440
1329           1         11.6540
1329           3         304.2210
1329           2         287.3720
1329           4         0.3760
1335           1         11.4400
1335           3         304.2240
1335           2         287.2890
1341           1         11.3160
1341           3         304.2120
1341           2         287.2090
1341           4         0.7960
1347           1         11.1910
1347           3         304.2180
1347           2         287.1340
1353           1         10.4260
1353           3         304.2190
1353           2         287.0500
1353           4         1.0140
1359           1         10.7640
1359           3         304.2220
1359           2         286.9650
1365           1         10.5150
1365           3         304.2110
1365           2         286.8760
1365           4         0.6060
1371           1         10.8880
1371           3         304.2060
1371           2         286.8100
1377           1         10.4610
1377           3         304.2130
1377           2         286.7430
1377           4         0.4620
1383           1         10.6750
1383           3         304.1900
1383           2         286.6810
1389           1         10.4260
1389           3         304.1960
1389           2         286.6170
1389           4         0.4420
1395           1         9.8210
1395           3         304.1900
1395           2         286.5560
1401           1         9.9100
1401           3         304.1900
1401           2         286.5460
1401           4         0.8600
1407           1         9.8740
1407           3         304.1930
1407           2         286.5380
1413           1         9.8740
1413           3         304.1930
1413           2         286.5240
1413           4         0.3200
1419           1         10.0340
1419           3         304.1830
1419           2         286.5080
1425           1         9.8740
1425           3         304.1780
1425           2         286.5030
1431           1         9.5720
1431           3         304.1710
1431           2         286.4900
1431           4         0.8300
1437           1         9.6070
1437           3         304.2340
1437           2         286.4780
1443           1         9.9630
1443           3         304.1670
1443           2         286.4780
1443           4         0.7620
1449           1         9.4830
1449           3         304.1640
1449           2         286.4760
1455           1         8.5570
1455           3         304.1590
1455           2         286.4690
1455           4         0.7500
1461           1         9.0560
1461           3         304.1630
1461           2         286.4670
1467           1         8.7710
1467           3         304.1590
1467           2         286.4650
1473           1         8.8950
1473           3         304.1410
1473           2         286.4760
1479           1         8.9310
1479           3         304.1510
1479           2         286.4760
1485           1         8.2900
1485           3         304.1390
1485           2         286.4760
1491           1         8.2550
1491           3         304.1300
1491           2         286.4820
1497           1         8.2550
1497           3         304.1440
1497           2         286.4760
1503           1         8.3790
1503           3         304.1400
1503           2         286.4760
1509           1         8.1300
1509           3         304.1410
1509           2         286.4930
1509           4         1.2700
1515           1         8.2550
1515           3         304.1410
1515           2         286.4780
1521           1         7.8810
1521           3         304.1090
1521           2         286.4780
1527           1         7.4900
1527           3         304.1280
1527           2         286.4820
1527           4         0.7610
1533           1         8.2190
1533           3         304.1140
1533           2         286.4740
1539           1         7.5790
1539           3         304.1410
1539           2         286.4860
1545           1         7.4010
1545           3         304.1110
1545           2         286.4880
1545           4         1.6420
1551           1         7.4540
1551           3         304.1120
1551           2         286.5020
1557           1         6.6000
1557           3         304.1060
1557           2         286.4880
1557           4         1.1860
1563           1         7.1160
1563           3         304.1110
1563           2         286.4810
1569           1         6.9020
1569           3         304.5020
1569           2         286.4850
1569           4         1.1840
1575           1         7.1520
1575           3         304.0950
1575           2         286.4820
1581           1         6.8130
1581           3         304.0980
1581           2         286.4780
1581           4         0.7450
1587           1         6.8130
1587           3         304.0910
1587           2         286.4650
1593           1         6.8130
1593           3         304.0860
1593           2         286.4730
1593           4         0.7530
1599           1         6.7250
1599           3         304.0860
1599           2         286.4760
1605           1         6.0130
1605           3         304.0780
1605           2         286.4790
1605           4         1.1920
1611           1         6.6890
1611           3         304.0720
1611           2         286.4810
1617           1         6.0480
1617           3         304.0720
1617           2         286.4670
1617           4         0.7620
1623           1         6.5640
1623           3         304.0710
1623           2         286.4620
1629           1         5.9240
1629           3         304.0620
1629           2         286.4680
1629           4         0.7610
1635           1         5.7460
1635           3         304.0560
1635           2         286.4680
1641           1         5.8700
1641           3         304.0530
1641           2         286.4490
1641           4         0.7610
1647           1         6.2620
1647           3         304.0540
1647           2         286.4530
1653           1         5.7100
1653           3         304.0540
1653           2         286.4490
1653           4         0.7620
1659           1         5.1940
1659           3         304.0440
1659           2         286.4370
1665           1         5.3190
1665           3         304.0440
1665           2         286.4400
1665           4         0.7620
1671           1         5.1230
1671           3         304.0410
1671           2         286.4280
1677           1         4.9090
1677           3         304.1160
1677           2         286.4260
1677           4         0.7610
1683           1         5.2830
1683           3         304.0370
1683           2         286.4310
1689           1         5.1590
1689           3         304.0270
1689           2         286.4230
1689           4         0.7620
1695           1         4.6430
1695           3         304.0230
1695           2         286.4300
1701           1         5.0700
1701           3         304.0230
1701           2         286.4100
1701           4         0.7610
1707           1         4.9090
1707           3         304.1180
1707           2         286.4000
1713           1         4.4290
1713           3         304.0160
1713           2         286.4050
1713           4         0.7610
1719           1         4.5180
1719           3         304.0150
1719           2         286.4000
1725           1         4.1440
1725           3         304.0310
1725           2         286.3940
1725           4         0.7620
1731           1         4.4290
1731           3         304.0190
1731           2         286.3870
1737           1         4.2150
1737           3         304.6410
1737           2         286.3870
1743           1         4.2690
1743           3         304.5450
1743           2         286.3940
1749           1         4.2690
1749           3         304.5720
1749           2         286.3870
1755           1         4.0550
1755           3         304.0210
1755           2         286.3780
1761           1         3.7530
1761           3         303.9920
1761           2         286.3740
1767           1         3.8420
1767           3         303.9770
1767           2         286.3800
1773           1         3.6640
1773           3         303.9850
1773           2         286.3670
1779           1         3.7530
1779           3         303.9810
1779           2         286.3690
1785           1         3.1120
1785           3         303.9800
1785           2         286.3600
1791           1         3.8420
1791           3         303.9760
1791           2         286.3520
1797           1         2.9520
1797           3         303.9930
1797           2         286.3520
1803           1         3.2900
1803           3         303.9650
1803           2         286.3460
1809           1         3.5390
1809           3         303.9630
1809           2         286.3510
1815           1         2.8280
1815           3         303.9870
1815           2         286.3420
1821           1         2.9520
1821           3         303.9750
1821           2         286.3370
1827           1         2.7740
1827           3         303.9700
1827           2         286.3320
1833           1         2.4890
1833           3         303.9540
1833           2         286.3330
1839           1         2.8630
1839           3         303.9770
1839           2         286.3320
1845           1         2.5250
1845           3         303.9480
1845           2         286.3250
1851           1         2.4890
1851           3         303.9420
1851           2         286.3280
1857           1         2.5610
1857           3         303.9370
1857           2         286.3150
1863           1         2.8280
1863           3         303.9550
1863           2         286.3240
1869           1         2.0980
1869           3         303.9520
1869           2         286.3120
1875           1         2.4360
1875           3         303.9340
1875           2         286.3160
1881           1         2.2760
1881           3         304.1110
1881           2         286.2990
1887           1         2.2760
1887           3         304.1440
1887           2         286.2980
1893           1         2.0090
1893           3         303.9330
1893           2         286.3030
1899           1         1.7600
1899           3         303.9270
1899           2         286.2940
1905           1         1.7600
1905           3         303.9180
1905           2         286.2950
1911           1         1.5110
1911           3         304.8580
1911           2         286.2850
1917           1         1.3860
1917           3         303.9790
1917           2         286.2850
1923           1         1.2970
1923           3         304.0100
1923           2         286.2870
1929           1         1.4220
1929           3         303.9760
1929           2         286.2780
1935           1         1.2970
1935           3         304.0210
1935           2         286.2760
1941           1         1.3860
1941           3         303.9930
1941           2         286.2740
1947           1         0.9590
1947           3         303.9060
1947           2         286.2640
1953           1         1.0840
1953           3         303.8990
1953           2         286.2800
1959           1         0.7460
1959           3         303.9110
1959           2         286.2780
1965           1         0.9950
1965           3         303.9030
1965           2         286.2730
1971           1         0.9590
1971           3         303.8870
1971           2         286.2720
1977           1         0.8700
1977           3         303.8980
1977           2         286.2640
1983           1         0.7810
1983           3         303.9020
1983           2         286.2630
1989           1         0.7810
1989           3         303.8870
1989           2         286.2640
1995           1         0.2830
1995           3         303.8840
1995           2         286.2610
2001           1         0.8350
2001           3         303.8780
2001           2         286.2610
